model,year,price,transmission,mileage,tax,mpg,fuelType,engineSize
 C Class,2020.0, 30495,Automatic,1200,,,Diesel,2.0
 C Class,2020.0, 29989,Automatic,1000,,,Petrol,1.5
 C Class,2020.0, 37899,Automatic,500,,,Diesel,2.0
 C Class,2019.0, 30399,Automatic,5000,,,Diesel,2.0
 C Class,2019.0, 29899,Automatic,4500,,,Diesel,2.0
 C Class,2020.0, 30999,Automatic,1000,,,Diesel,2.0
 C Class,2020.0, 35999,Automatic,500,,,Diesel,2.0
 C Class,2019.0, 37990,Automatic,1412,,,Petrol,3.0
 C Class,2019.0, 28990,Automatic,3569,,,Diesel,2.0
 C Class,2019.0, 28990,Automatic,3635,,,Diesel,2.0
 C Class,2013.0, 9995,Automatic,44900,160,46.3,Petrol,1.6
 C Class,2012.0, 6995,Automatic,88200,125,58.9,Diesel,2.1
 C Class,2012.0, 7495,Automatic,115000,145,54.3,Diesel,2.1
 C Class,2011.0, 8995,Automatic,69250,150,53.3,Diesel,2.1
 C Class,2015.0, 14995,Automatic,49850,30,62.8,Diesel,2.1
 C Class,2013.0, 8595,Automatic,82685,30,64.2,Diesel,2.143
 C Class,2016.0, 19250,Semi-Auto,32506,125,60.1,Diesel,2.1
 C Class,2017.0, 23500,Semi-Auto,17000,145,67.3,Diesel,2.1
 C Class,2018.0, 24995,Semi-Auto,17744,150,64.2,Diesel,2.0
 C Class,2016.0, 29995,Semi-Auto,64291,305,34.5,Petrol,4.0
 C Class,2014.0, 17990,Automatic,41011,150,49.6,Petrol,1.991
 C Class,2016.0, 14477,Automatic,72000,30,65.7,Diesel,1.6
 C Class,2013.0, 10977,Automatic,72000,145,54.3,Diesel,2.1
 C Class,2016.0, 17977,Automatic,40000,30,64.2,Diesel,1.6
 C Class,2015.0, 12790,Automatic,52000,,,Diesel,2.143
 C Class,, 24495,Automatic,20330,115,60.1,Diesel,2.1
 C Class,2017.0, 14488,Automatic,66472,30,64.2,Diesel,2.1
 C Class,2011.0, 7500,Manual,91000,125,60.1,Diesel,2.1
 C Class,2013.0, 9750,Automatic,69700,145,53.3,Diesel,2.1
 C Class,2015.0, 15995,Automatic,39000,30,64.2,Diesel,1.6
 C Class,2016.0, 15675,Manual,39287,20,68.9,Diesel,2.143
 C Class,2016.0, 16475,Manual,40569,20,68.9,Diesel,2.143
 C Class,2016.0, 15975,Manual,37419,125,51.4,Petrol,1.991
 C Class,2016.0, 16475,Automatic,34452,30,64.2,Diesel,2.143
 C Class,2015.0, 15975,Automatic,41567,0,76.4,Hybrid,2.143
 C Class,2015.0, 16495,Automatic,41130,0,134.5,Hybrid,1.991
 C Class,2017.0, 17795,Automatic,37778,150  ,64.2,Diesel,2.143
 C Class,2017.0, 17875,Automatic,44325,30,64.2,Diesel,2.143
 C Class,2016.0, 14000,Automatic,45000,,,Diesel,2.1
 C Class,2017.0, 16500,Automatic,75000,30,64.2,Diesel,1.6
 C Class,2016.0, 21000,Automatic,36000,,,Diesel,2.1
 C Class,2015.0, 15500,Automatic,64000,30,64.2,Diesel,2.1
 C Class,2013.0, 7250,Manual,106000,30,64.2,Diesel,2.1
 C Class,2015.0, 13000,Automatic,67150,,,Diesel,2.143
 C Class,2012.0, 11000,Automatic,43426,160,44.8,Petrol,1.595
 C Class,2016.0, 13300,Manual,42622,20,70.6,Diesel,2.143
 C Class,2016.0, 16000,Manual,34903,20,68.9,Diesel,2.143
 C Class,2014.0, 12500,Automatic,35345,145,53.3,Diesel,2.143
 C Class,2015.0, 14495,Manual,23146,115,52.3,Petrol,2.0
 C Class,2017.0, 24500,Automatic,16000,145,65.7,Diesel,2.1
 C Class,2013.0, 23990,Automatic,44000,570,23.5,Petrol,6.2
 C Class,2015.0, 17250,Automatic,30000,30,64.2,Diesel,2.1
 C Class,2015.0, 14200,Automatic,22000,160,44.8,Petrol,1.6
 C Class,2017.0, 22950,Automatic,19000,150,47.1,Petrol,2.0
 C Class,2013.0, 10500,Automatic,90000,145,54.3,Diesel,2.1
 C Class,2014.0, 15650,Automatic,32000,20,64.2,Diesel,2.1
 C Class,2015.0, 14850,Automatic,90000,30,61.4,Diesel,2.1
 C Class,2017.0, 22400,Automatic,37000,,,Diesel,2.1
 C Class,2017.0, 19950,Automatic,23000,145  ,61.4,Diesel,2.1
 C Class,2014.0, 9990,Automatic,78000,145,53.3,Diesel,2.143
 C Class,2015.0, 11990,Automatic,47000,145,53.3,Diesel,2.143
 C Class,2017.0, 20990,Automatic,18000,145,58.9,Diesel,2.143
 C Class,2015.0, 14490,Automatic,64000,30,64.2,Diesel,2.143
 C Class,2013.0, 10490,Automatic,50000,145,54.3,Diesel,2.143
 C Class,2016.0, 15990,Automatic,65000,30,64.2,Diesel,2.143
 C Class,2016.0, 17850,Automatic,38000,30,64.2,Diesel,2.1
 C Class,2016.0, 16450,Automatic,70000,30,64.2,Diesel,2.1
 C Class,2013.0, 11350,Automatic,69000,145,54.3,Diesel,2.1
 C Class,2014.0, 12900,Automatic,41000,160,44.8,Petrol,1.6
 C Class,2018.0, 26000,Automatic,16250,150,46.3,Petrol,1.5
 C Class,2017.0, 22767,Automatic,30676,,,Diesel,2.1
 C Class,2015.0, 12000,Automatic,40005,,,Diesel,2.1
 C Class,2017.0, 18999,Automatic,38000,0,134.5,Hybrid,2.0
 C Class,2016.0, 14000,Automatic,45000,,,Diesel,2.1
 C Class,2015.0, 12000,Automatic,40005,,,Diesel,2.1
 C Class,2009.0, 4343,Automatic,120000,205,45.6,Diesel,2.145
 C Class,2016.0, 16500,Automatic,51936,30,64.2,Diesel,2.143
 C Class,2019.0, 27750,Automatic,4000,145,56.5,Diesel,1.95
 C Class,2019.0, 28950,Automatic,8500,145,54.3,Diesel,1.95
 C Class,2007.0, 3495,Automatic,119168,300,33.6,Petrol,1.796
 C Class,2017.0, 59740,Automatic,21800,,,Petrol,3.982
 C Class,2019.0, 44990,Automatic,19999,145  ,28.5,Petrol,3.982
 C Class,2019.0, 54990,Automatic,1600,150  ,28.5,Petrol,3.982
 C Class,2015.0, 15995,Automatic,46221,20,64.2,Diesel,2.143
 C Class,2016.0, 14000,Automatic,45000,,,Diesel,2.1
 C Class,2015.0, 12000,Automatic,40005,,,Diesel,2.1
 C Class,2017.0, 22767,Automatic,30676,,,Diesel,2.1
 C Class,2014.0, 12998,Semi-Auto,52712,20,64.2,Diesel,2.1
 C Class,2017.0, 17998,Semi-Auto,59858,145  ,64.2,Diesel,2.1
 C Class,2019.0, 28998,Manual,22,145,48.7,Petrol,1.6
 C Class,2017.0, 24998,Semi-Auto,28234,160,43.5,Petrol,2.0
 C Class,2016.0, 19498,Semi-Auto,22803,30,61.4,Diesel,2.1
 C Class,2018.0, 23498,Semi-Auto,17093,145,67.3,Diesel,2.1
 C Class,2019.0, 25498,Semi-Auto,8150,145,60.1,Diesel,1.6
 C Class,2019.0, 24998,Semi-Auto,9344,145,55.4,Diesel,2.0
