model,year,price,transmission,mileage,tax,mpg,fuelType,engineSize
 Focus,2016.0, 8000,Manual,38852,,,Petrol,0.999
 Focus,2019.0, 13400,Manual,11952,,,Petrol,0.999
 Focus,2019.0, 14600,Manual,22142,,,Petrol,1.498
 Focus,2016.0, 9450,Manual,14549,,,Diesel,1.56
 Focus,2015.0, 9999,Manual,7010,,,Diesel,1.56
 Focus,2016.0, 10699,Automatic,26796,,,Petrol,0.999
 Focus,2018.0, 12849,Manual,16128,,,Petrol,1.0
 Focus,2020.0, 24999,Manual,4900,,,Petrol,2.3
 Focus,2018.0, 11999,Manual,30953,,,Petrol,1.498
 Focus,2019.0, 19500,Manual,3000,,,Diesel,1.5
 Focus,2018.0, 12300,Manual,13255,145,57.7,Petrol,0.999
 Focus,2015.0, 7500,Manual,42112,20,61.4,Petrol,0.999
 Focus,2017.0, 9600,Manual,50689,0,74.3,Diesel,1.499
 Focus,2015.0, 9500,Automatic,30292,165,44.8,Petrol,1.596
 Focus,2016.0, 9400,Manual,25998,20,61.4,Petrol,0.999
 Focus,2017.0, 9800,Manual,33629,145,74.3,Diesel,1.499
 Focus,2016.0, 8000,Manual,43526,0,74.3,Diesel,1.499
 Focus,2018.0, 10600,Manual,25151,145,57.7,Petrol,0.999
 Focus,2018.0, 10300,Manual,45773,145,57.7,Petrol,0.999
 Focus,2018.0, 11400,Manual,26656,145,57.7,Petrol,0.999
 Focus,2016.0, 7900,Manual,58898,0,74.3,Diesel,1.499
 Focus,2015.0, 7000,Manual,78533,0,74.3,Diesel,1.499
 Focus,2019.0, 13500,Manual,27916,150,80.7,Diesel,1.499
 Focus,2019.0, 13000,Manual,34466,150,80.7,Diesel,1.499
 Focus,2017.0, 10800,Manual,22988,20,60.1,Petrol,0.999
 Focus,2016.0, 14250,Manual,40696,20,67.3,Diesel,1.997
 Focus,2017.0, 9900,Automatic,31821,125,51.4,Petrol,0.999
 Focus,2017.0, 11500,Manual,18413,150,60.1,Petrol,0.999
 Focus,2017.0, 9900,Manual,21492,20,61.4,Petrol,0.999
 Focus,2017.0, 9500,Manual,15344,20,61.4,Petrol,0.999
 Focus,2019.0, 19575,Automatic,8879,,,Diesel,1.5
 Focus,2019.0, 19315,Automatic,4698,,,Diesel,2.0
 Focus,2019.0, 16440,Automatic,16199,,,Petrol,1.0
 Focus,2019.0, 21660,Automatic,3212,,,Diesel,2.0
 Focus,2019.0, 19000,Automatic,8201,,,Diesel,2.0
 Focus,2019.0, 16040,Manual,13471,,,Petrol,1.0
 Focus,2019.0, 14560,Manual,12372,,,Petrol,1.0
 Focus,2019.0, 16040,Manual,11535,,,Diesel,1.5
 Focus,2019.0, 18650,Automatic,2219,,,Diesel,1.5
 Focus,2019.0, 19015,Manual,10230,,,Diesel,1.5
 Focus,2019.0, 19560,Automatic,201,,,Diesel,1.5
 Focus,2018.0, 14000,Manual,9083,150,57.7,Petrol,1.0
 Focus,2017.0, 13000,Manual,12456,150,57.7,Petrol,1.0
 Focus,2018.0, 11000,Manual,48961,,,Petrol,1.0
 Focus,2019.0, 16920,Manual,13516,,,Petrol,1.5
 Focus,2017.0, 11000,Manual,23500,,,Petrol,1.0
 Focus,2019.0, 18785,Manual,12395,,,Diesel,1.5
 Focus,2019.0, 18580,Manual,4984,,,Diesel,1.5
 Focus,2019.0, 18990,Automatic,6393,,,Diesel,2.0
 Focus,2019.0, 19340,Automatic,12198,,,Diesel,1.5
